trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
69,False,"{'a': 0.5, 'e': 0.5015760690660555}",20,0,-73.34044376516125,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",1
70,False,"{'a': 0.5, 'e': 0.49658530379140947}",30,8,-57.762334027302444,"{0: 16, 1: 2, 2: 3, 3: 0, 4: 1}",1
71,False,"{'a': 0.5, 'e': 0.4916441974609651}",25,0,-63.174608736488196,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
72,False,"{'a': 0.5, 'e': 0.4867522559599717}",35,13,-20.335639034513676,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 1}",1
73,False,"{'a': 0.5, 'e': 0.48190899009020244}",25,9,-46.05382901381072,"{0: 11, 1: 1, 2: 2, 3: 2, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.4771139155210344}",20,11,12.089463685099588,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.4723665527410147}",25,7,5.078228146878098,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.46766642700990924}",20,0,-59.710787432135135,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
77,False,"{'a': 0.5, 'e': 0.46301306831122807}",25,0,-8.062209613426038,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
78,False,"{'a': 0.5, 'e': 0.4584060113052235}",20,0,-78.62195681471034,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
79,False,"{'a': 0.5, 'e': 0.45384479528235583}",25,6,-21.41733724631007,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.44932896411722156}",30,8,-11.275539653121976,"{0: 17, 1: 3, 2: 1, 3: 1, 4: 0}",1
